#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_3338               -            204 86695at186802        -            145   3.9e-54  180.2   0.1   1   1   2.3e-56   7.1e-54  179.3   0.1     7   135    21   168    16   187 0.85 # 3772449 # 3773060 # -1 # ID=1_3338;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.314
1_3394               -            356 86695at186802        -            145   0.00041   17.9   0.0   1   1   3.7e-06    0.0012   16.5   0.0    11    33   201   223   192   290 0.70 # 3828421 # 3829488 # -1 # ID=1_3394;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.350
1_3312               -            649 86695at186802        -            145   0.00054   17.5   0.1   1   1   4.4e-06    0.0014   16.2   0.1    10    93     2    86     1   132 0.73 # 3740756 # 3742702 # 1 # ID=1_3312;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.312
1_2554               -            295 86695at186802        -            145    0.0013   16.3   0.1   1   2       2.4   7.6e+02   -2.4   0.0   109   128   110   129   106   145 0.75 # 2853044 # 2853928 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.286
1_2554               -            295 86695at186802        -            145    0.0013   16.3   0.1   2   2   1.1e-05    0.0034   14.9   0.0     8    35   157   184   147   221 0.81 # 2853044 # 2853928 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.286
1_2178               -            424 86695at186802        -            145    0.0017   15.9   0.1   1   1   1.2e-05    0.0039   14.8   0.1     7    31   193   217   188   226 0.86 # 2433406 # 2434677 # -1 # ID=1_2178;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.281
1_766                -            428 86695at186802        -            145    0.0023   15.5   0.2   1   2     6e-05     0.019   12.6   0.0     9    33   201   225   193   231 0.85 # 939677 # 940960 # 1 # ID=1_766;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.305
1_766                -            428 86695at186802        -            145    0.0023   15.5   0.2   2   2       0.7   2.2e+02   -0.6   0.1   109   140   325   355   319   360 0.75 # 939677 # 940960 # 1 # ID=1_766;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.305
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/clostridiales_odb10/hmms/86695at186802.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op3/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op3/run_clostridiales_odb10/hmmer_output/86695at186802.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/clostridiales_odb10/hmms/86695at186802.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op3/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 16:58:14 2023
# [ok]
