#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00136_1        -            357 1592033at2           -            393  4.1e-131  436.5   0.3   1   1  7.7e-134  5.4e-131  436.2   0.3    80   380     1   318     1   328 0.93 # 1 # 1071 # 1 # ID=136_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.671
contig01733_2        -            205 1592033at2           -            393     0.018   13.0   0.0   2   2   7.7e-05     0.054   11.4   0.0   290   363   112   196    98   205 0.79 # 657 # 1271 # 1 # ID=1733_2;partial=01;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
contig00050_4        -            460 1592033at2           -            393     0.037   12.0   0.0   1   1   8.4e-05     0.059   11.3   0.0   196   217     6    27     2    34 0.87 # 2336 # 3715 # -1 # ID=50_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.729
contig00498_3        -            234 1592033at2           -            393     0.038   11.9   0.3   1   2    0.0025       1.8    6.4   0.0   195   217    28    50    13    57 0.86 # 1927 # 2628 # 1 # ID=498_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.644
contig00498_3        -            234 1592033at2           -            393     0.038   11.9   0.3   2   2     0.019        14    3.5   0.1   124   158   108   141   104   155 0.77 # 1927 # 2628 # 1 # ID=498_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.644
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/run_bacteria_odb10/hmmer_output/1592033at2.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  1 18:11:35 2023
# [ok]
